#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:696081-697643|+   -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 tig00000001_pilon_pilon_631 # 696081 # 697643 # 1 # ID=1_631;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001_pilon_pilon:1483438-1484115|- -            226 18543                -            519   3.4e-18   62.8   0.2   2   2   8.1e-13   3.2e-11   39.8   0.0   120   221   105   206    96   215 0.90 tig00000001_pilon_pilon_1414 # 1483438 # 1484115 # -1 # ID=1_1414;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
tig00000001_pilon_pilon:2072897-2073703|+ -            269 18543                -            519   7.5e-18   61.6   0.2   1   1   2.3e-19   9.1e-18   61.4   0.2    11   233     8   231     3   252 0.86 tig00000001_pilon_pilon_1993 # 2072897 # 2073703 # 1 # ID=1_1993;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001_pilon_pilon:1525539-1526492|+ -            318 18543                -            519   2.2e-17   60.1   0.7   1   1     3e-18   1.2e-16   57.7   0.7    18   220    22   230     4   239 0.80 tig00000001_pilon_pilon_1455 # 1525539 # 1526492 # 1 # ID=1_1455;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:748149-749093|+   -            315 18543                -            519   2.3e-17   60.1   0.9   1   1   2.5e-18   9.9e-17   57.9   0.9   272   485    28   237    22   247 0.66 tig00000001_pilon_pilon_694 # 748149 # 749093 # 1 # ID=1_694;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:1540048-1541811|- -            588 18543                -            519   2.7e-17   59.8   0.2   1   1   1.1e-18   4.5e-17   59.1   0.2    24   222   366   562   360   573 0.78 tig00000001_pilon_pilon_1469 # 1540048 # 1541811 # -1 # ID=1_1469;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001_pilon_pilon:571672-572412|-   -            247 18543                -            519   1.8e-16   57.1   2.6   1   1   7.2e-18   2.8e-16   56.5   2.6     7   218     2   209     1   233 0.82 tig00000001_pilon_pilon_533 # 571672 # 572412 # -1 # ID=1_533;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
tig00000001_pilon_pilon:1766583-1767389|+ -            269 18543                -            519     3e-16   56.4   0.1   1   2   2.3e-06     9e-05   18.5   0.0    10    88    25   109    16   115 0.71 tig00000001_pilon_pilon_1686 # 1766583 # 1767389 # 1 # ID=1_1686;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001_pilon_pilon:1766583-1767389|+ -            269 18543                -            519     3e-16   56.4   0.1   2   2     3e-12   1.2e-10   37.9   0.0   339   483    97   243    95   251 0.82 tig00000001_pilon_pilon_1686 # 1766583 # 1767389 # 1 # ID=1_1686;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001_pilon_pilon:384442-386154|-   -            571 18543                -            519     7e-16   55.1   0.5   1   2       3.5   1.4e+02   -1.9   0.7    88   208   178   305   169   311 0.55 tig00000001_pilon_pilon_366 # 384442 # 386154 # -1 # ID=1_366;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.400
tig00000001_pilon_pilon:384442-386154|-   -            571 18543                -            519     7e-16   55.1   0.5   2   2   1.8e-17     7e-16   55.1   0.5    24   222   348   544   340   556 0.85 tig00000001_pilon_pilon_366 # 384442 # 386154 # -1 # ID=1_366;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.400
tig00000001_pilon_pilon:1792301-1794052|+ -            584 18543                -            519   9.1e-16   54.8   0.5   1   1   3.4e-17   1.3e-15   54.2   0.5   274   483   352   551   335   559 0.85 tig00000001_pilon_pilon_1709 # 1792301 # 1794052 # 1 # ID=1_1709;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.393
tig00000010_pilon_pilon:6381-7001|-       -            207 18543                -            519   1.2e-15   54.4   1.7   1   1   3.5e-17   1.4e-15   54.2   1.7     7   204     3   196     1   204 0.91 tig00000010_pilon_pilon_10 # 6381 # 7001 # -1 # ID=9_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.246
tig00000001_pilon_pilon:1470409-1472136|+ -            576 18543                -            519   1.4e-15   54.1   0.2   1   1   5.7e-17   2.2e-15   53.5   0.2    21   222   348   547   334   563 0.81 tig00000001_pilon_pilon_1403 # 1470409 # 1472136 # 1 # ID=1_1403;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001_pilon_pilon:1617555-1619285|+ -            577 18543                -            519   3.5e-15   52.8   0.1   1   1     3e-16   1.2e-14   51.1   0.1   274   492   349   557   344   572 0.90 tig00000001_pilon_pilon_1536 # 1617555 # 1619285 # 1 # ID=1_1536;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001_pilon_pilon:2614863-2615600|- -            246 18543                -            519   8.6e-15   51.5   0.0   1   1   2.7e-16     1e-14   51.3   0.0    16   225    12   213     1   222 0.86 tig00000001_pilon_pilon_2512 # 2614863 # 2615600 # -1 # ID=1_2512;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon_pilon:370992-372776|+   -            595 18543                -            519   1.4e-14   50.8   0.6   1   1   1.1e-15   4.2e-14   49.3   0.6    23   222   372   569   354   576 0.82 tig00000001_pilon_pilon_358 # 370992 # 372776 # 1 # ID=1_358;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001_pilon_pilon:1159973-1160746|+ -            258 18543                -            519   1.5e-14   50.8   2.5   1   2     3e-12   1.2e-10   37.9   0.5     6    88     3    87     1   101 0.85 tig00000001_pilon_pilon_1083 # 1159973 # 1160746 # 1 # ID=1_1083;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001_pilon_pilon:1159973-1160746|+ -            258 18543                -            519   1.5e-14   50.8   2.5   2   2   0.00012    0.0048   12.8   0.1   396   487   138   230   115   249 0.86 tig00000001_pilon_pilon_1083 # 1159973 # 1160746 # 1 # ID=1_1083;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001_pilon_pilon:1794052-1795836|+ -            595 18543                -            519     4e-14   49.3   0.4   1   1   1.5e-15   5.8e-14   48.8   0.4     7   223   355   570   351   587 0.80 tig00000001_pilon_pilon_1710 # 1794052 # 1795836 # 1 # ID=1_1710;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.390
tig00000001_pilon_pilon:977203-977823|-   -            207 18543                -            519     1e-13   48.0   0.1   1   1   3.2e-15   1.2e-13   47.7   0.1   119   226    22   127     4   140 0.87 tig00000001_pilon_pilon_919 # 977203 # 977823 # -1 # ID=1_919;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001_pilon_pilon:369256-370977|+   -            574 18543                -            519   1.1e-13   47.9   0.1   1   1   4.1e-15   1.6e-13   47.3   0.1    23   223   353   551   331   565 0.87 tig00000001_pilon_pilon_357 # 369256 # 370977 # 1 # ID=1_357;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001_pilon_pilon:2140901-2143717|+ -            939 18543                -            519   1.1e-11   41.3   1.3   1   2   0.00022    0.0087   11.9   0.1   163   305   508   651   485   664 0.72 tig00000001_pilon_pilon_2058 # 2140901 # 2143717 # 1 # ID=1_2058;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2140901-2143717|+ -            939 18543                -            519   1.1e-11   41.3   1.3   2   2   5.6e-09   2.2e-07   27.1   0.1   146   208   830   895   800   902 0.84 tig00000001_pilon_pilon_2058 # 2140901 # 2143717 # 1 # ID=1_2058;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:481695-483173|-   -            493 18543                -            519   8.6e-10   35.1   7.8   1   5   2.4e-06   9.4e-05   18.4   0.1     4    65     3    64     1    73 0.85 tig00000001_pilon_pilon_447 # 481695 # 483173 # -1 # ID=1_447;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:481695-483173|-   -            493 18543                -            519   8.6e-10   35.1   7.8   2   5    0.0099      0.39    6.5   0.0   125   186    86   146    73   175 0.83 tig00000001_pilon_pilon_447 # 481695 # 483173 # -1 # ID=1_447;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:481695-483173|-   -            493 18543                -            519   8.6e-10   35.1   7.8   3   5       4.2   1.7e+02   -2.2   0.8   100   139   203   243   198   263 0.75 tig00000001_pilon_pilon_447 # 481695 # 483173 # -1 # ID=1_447;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:481695-483173|-   -            493 18543                -            519   8.6e-10   35.1   7.8   4   5     0.053       2.1    4.1   0.1    30    50   321   341   313   364 0.84 tig00000001_pilon_pilon_447 # 481695 # 483173 # -1 # ID=1_447;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:481695-483173|-   -            493 18543                -            519   8.6e-10   35.1   7.8   5   5    0.0064      0.25    7.1   0.0   383   444   389   450   344   455 0.76 tig00000001_pilon_pilon_447 # 481695 # 483173 # -1 # ID=1_447;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:1541814-1543529|- -            572 18543                -            519   1.2e-09   34.5   0.0   1   1   5.3e-11   2.1e-09   33.8   0.0    23   220   351   545   343   563 0.65 tig00000001_pilon_pilon_1470 # 1541814 # 1543529 # -1 # ID=1_1470;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:1232294-1233796|+ -            501 18543                -            519   2.6e-08   30.2   0.1   1   4     0.002     0.077    8.8   0.0    23    66    22    64     2    84 0.72 tig00000001_pilon_pilon_1148 # 1232294 # 1233796 # 1 # ID=1_1148;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:1232294-1233796|+ -            501 18543                -            519   2.6e-08   30.2   0.1   2   4     0.027       1.1    5.1   0.0   402   478   115   188    97   222 0.87 tig00000001_pilon_pilon_1148 # 1232294 # 1233796 # 1 # ID=1_1148;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:1232294-1233796|+ -            501 18543                -            519   2.6e-08   30.2   0.1   3   4      0.17       6.5    2.5   0.0    29    56   336   363   264   383 0.77 tig00000001_pilon_pilon_1148 # 1232294 # 1233796 # 1 # ID=1_1148;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:1232294-1233796|+ -            501 18543                -            519   2.6e-08   30.2   0.1   4   4    0.0021      0.08    8.7   0.0   137   181   422   466   390   494 0.76 tig00000001_pilon_pilon_1148 # 1232294 # 1233796 # 1 # ID=1_1148;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon_pilon:978903-979151|-   -             83 18543                -            519     3e-08   29.9   0.0   1   1   8.3e-10   3.3e-08   29.8   0.0     6    56     4    54     1    63 0.92 tig00000001_pilon_pilon_921 # 978903 # 979151 # -1 # ID=1_921;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.357
tig00000011_pilon_pilon:6697-7041|-       -            115 18543                -            519   9.7e-08   28.3   0.1   1   1   2.9e-09   1.1e-07   28.1   0.1   120   204    18   104     5   112 0.67 tig00000011_pilon_pilon_11 # 6697 # 7041 # -1 # ID=10_11;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.241
tig00000001_pilon_pilon:427973-428872|-   -            300 18543                -            519     0.036    9.9   0.0   1   1    0.0014     0.053    9.3   0.0    36    64   161   189   155   198 0.90 tig00000001_pilon_pilon_395 # 427973 # 428872 # -1 # ID=1_395;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/18543at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r2_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r2_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/18543at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/18543at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r2_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:59:08 2026
# [ok]
